ActivityIdentifier,ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Skor_SAW,Peringkat
OVIWC-LP-SS-1-20231006-F,7.43,162.09405044510385,44.0,7.12,65.86257217573221,67.4,3.1233735705209655,66.4,-0.14,2.3119722511327443,1
OVIWC-LP-SS-1-20220518-F,8.51,162.09405044510385,50.0,7.12,65.86257217573221,76.6,3.1233735705209655,66.4,-0.16,2.071319953198365,2
OVIWC-LP-SS-1-20220329-F,8.52,162.09405044510385,68.0,7.12,65.86257217573221,104.4,3.1233735705209655,66.4,-0.35,1.1196675142826547,3
OVIWC-LP-SS-1-20220714-F,8.18,162.09405044510385,53.0,7.12,65.86257217573221,81.3,3.1233735705209655,66.4,-0.56,0.8160776240569834,4
OVIWC-LP-SS-1-20220628-F,8.06,162.09405044510385,44.0,7.12,65.86257217573221,67.1,3.1233735705209655,66.4,-0.73,0.698375565946519,5
OVIWC-LP-SS-2-20231006-F,7.69,162.09405044510385,218.0,7.12,65.86257217573221,336.0,3.1233735705209655,66.4,-0.81,0.6569006726385866,6
OVIWC-LP-SS-1-20220428-F,8.35,162.09405044510385,62.0,7.12,65.86257217573221,95.1,3.1233735705209655,66.4,-2.19,0.444788322770476,7
nwisca.01.02306441,8.0,1.17,246.45972997594052,7.12,0.15,338.4017245542537,0.88,66.4,37.403660625,0.4402678912864963,8
OVIWC-LP-SS-5-20231006-F,7.93,162.09405044510385,219.0,7.12,65.86257217573221,337.2,3.1233735705209655,66.4,-2.55,0.42278605157164295,9
nwisca.01.02306442,7.9,1.61,246.45972997594052,7.12,0.17,338.4017245542537,0.92,66.4,37.403660625,0.4077749494457284,10
CA_BVR-FC2:20200109:0913:FM:PS:0.057:Hydro,7.07,162.09405044510385,0.0784,7.12,65.86257217573221,0.1227,3.1233735705209655,66.4,30.4,0.4057008693788591,11
nwisca.01.02308109,8.0,1.92,3.005,7.12,0.25,7.0,0.8,66.4,37.403660625,0.40268739959512584,12
nwisca.01.02306440,7.6,1.52,246.45972997594052,7.12,0.19,338.4017245542537,1.24,66.4,37.403660625,0.40114128995913095,13
nwisca.01.02002992,6.9,1.65,246.45972997594052,7.12,0.21,5.0,0.94,66.4,37.403660625,0.39869336418479145,14
nwisca.01.02306439,7.3,1.7,246.45972997594052,7.12,0.21,5.0,1.08,66.4,37.403660625,0.39578817124580623,15
nwisca.01.02206368,7.775573846153846,1.79,246.45972997594052,7.12,0.27,6.0,1.17,66.4,37.403660625,0.39366149664131367,16
CA_BVR-FC1:20200109:0852:FM:PS:0.122:Hydro,6.94,162.09405044510385,0.086,7.12,65.86257217573221,0.1329,3.1233735705209655,66.4,23.5,0.39336741674523495,17
nwisca.01.02002486,6.6,1.55,246.45972997594052,7.12,0.19,5.0,1.24,66.4,37.403660625,0.3930711017526457,18
nwisca.01.02206369,7.775573846153846,1.88,246.45972997594052,7.12,0.27,6.0,1.08,66.4,37.403660625,0.3924132343027743,19
nwisca.01.02206367,7.775573846153846,1.81,246.45972997594052,7.12,0.25,6.0,1.2,66.4,37.403660625,0.39220890801810243,20
nwisca.01.02002649,6.8,1.67,246.45972997594052,7.12,0.2,5.0,1.22,66.4,37.403660625,0.38933008573170935,21
nwisca.01.02002650,6.8,1.67,246.45972997594052,7.12,0.2,5.0,1.3,66.4,37.403660625,0.38777649178467277,22
nwisca.01.02306438,7.5,1.96,246.45972997594052,7.12,0.26,6.0,1.14,66.4,37.403660625,0.3856128613583,23
CA_BVR-MC2:20211025:0815:FM:PS:0.4:Hydro,7.43,162.09405044510385,0.0862,7.12,65.86257217573221,0.1352,3.1233735705209655,66.4,12.4,0.3854094842506661,24
nwisca.01.02206370,7.775573846153846,2.86,246.45972997594052,7.12,0.43,9.0,0.7,66.4,37.403660625,0.38368743564241187,25
nwisca.01.02003052,6.9,2.08,3.005,7.12,0.27,6.0,0.94,66.4,37.403660625,0.38211846418479145,26
CA_BVR-FC1:20211025:0902:FM:PS:0.18:Hydro,7.34,162.09405044510385,0.0877,7.12,65.86257217573221,0.1366,3.1233735705209655,66.4,10.1,0.37841684628257166,27
CA_BVR-FC3:20220421:1013:FM:PS:0.536:Hydro,7.42,162.09405044510385,0.1075,7.12,65.86257217573221,0.168,3.1233735705209655,66.4,26.3,0.3777835477196298,28
nwisca.01.02306454,7.4,2.17,3.505,7.12,0.37,7.0,1.16,66.4,37.403660625,0.37756208403888003,29
CA_BVR-FC2:20220421:1022:FM:PS:0.189:Hydro,7.45,162.09405044510385,0.1169,7.12,65.86257217573221,0.1827,3.1233735705209655,66.4,49.1,0.37654476281490057,30
nwisca.01.02402034,7.8,3.8,6.01,7.12,0.47,12.0,0.64,66.4,37.403660625,0.37652799597243275,31
nwisca.01.02207416,7.775573846153846,2.29,246.45972997594052,7.12,0.36,7.0,1.25,66.4,37.403660625,0.37595678519533343,32
nwisca.01.02105716,6.9,2.3,3.505,7.12,0.4,8.0,0.94,66.4,37.403660625,0.3756376109239219,33
nwisca.01.02203568,7.775573846153846,2.27,246.45972997594052,7.12,0.3,7.0,1.36,66.4,37.403660625,0.3744590058987082,34
NARS_WQX-244040_2324,8.07,162.09405044510385,246.45972997594052,7.12,3.68,338.4017245542537,0.44,66.4,0.0,0.3741975044028861,35
nwisca.01.02306436,8.0,2.36,3.505,7.12,0.28,7.0,1.4,66.4,37.403660625,0.3736900479002105,36
CA_BVR-FC1:20211214:0858:FM:PS:0.75:Hydro,7.49,162.09405044510385,0.1058,7.12,65.86257217573221,0.1656,3.1233735705209655,66.4,16.1,0.3728272878212101,37
nwisca.01.02105717,7.1,3.35,246.45972997594052,7.12,0.56,12.0,0.71,66.4,37.403660625,0.3699691306940668,38
nwisca.01.02308110,7.5,2.78,4.005,7.12,0.33,8.0,0.99,66.4,37.403660625,0.3697757523324165,39
nwisca.01.02105714,6.6,1.99,3.005,7.12,0.34,7.0,1.54,66.4,37.403660625,0.3691022437020239,40
CA_BVR-MC1:20210329:0930:FM:PS:0.086:Hydro,7.04,162.09405044510385,0.1347,7.12,65.86257217573221,0.2104,3.1233735705209655,66.4,0.0,0.36880435533406863,41
CA_BVR-MC2:20220401:0955:FM:PS:0.209:Hydro,7.23,162.09405044510385,0.1386,7.12,65.86257217573221,0.2166,3.1233735705209655,66.4,0.0,0.3686954079081968,42
CA_BVR-FC1:20211109:0916:FM:PS:0.1778:Hydro,7.51,162.09405044510385,0.1273,7.12,65.86257217573221,0.2001,3.1233735705209655,66.4,35.8,0.36854392189516194,43
nwisca.01.02105715,6.7,2.13,3.505,7.12,0.34,7.0,1.4,66.4,37.403660625,0.36776050298821156,44
nwisca.01.02306437,7.8,2.61,4.005,7.12,0.3,8.0,1.32,66.4,37.403660625,0.36774062808072067,45
CA_BVR-MC1:20211025:0945:FM:PS:0.5:Hydro,7.56,162.09405044510385,0.123,7.12,65.86257217573221,0.1922,3.1233735705209655,66.4,22.8,0.367303482224828,46
CA_BVR-FC2:20210316:1103:FM:PS:0.012:Hydro,7.49,162.09405044510385,0.1462,7.12,65.86257217573221,0.2284,3.1233735705209655,66.4,166.3,0.36615300938902495,47
nwisca.01.02206373,7.4,6.25,14.68,7.12,0.76,21.0,0.56,66.4,37.403660625,0.3660081755691518,48
nwisca.01.02401962,6.5,4.14,6.01,7.12,0.52,13.0,0.59,66.4,37.403660625,0.36592022022309767,49
CA_BVR-RED01:20210907:0949:FM:PS:0.378:Hydro,9.08,162.09405044510385,0.2441,7.12,65.86257217573221,0.304,3.1233735705209655,66.4,166.0,0.3659088376154418,50
CA_BVR-RED01:20210427:1248:FM:PS:0.5:Hanna,9.07,162.09405044510385,0.133,7.12,65.86257217573221,0.265,3.1233735705209655,66.4,33.6,0.3656935224308716,51
CA_BVR-MC2:20220608:1137:FM:PS:0.123:Hydro,7.85,162.09405044510385,0.1644,7.12,65.86257217573221,0.2568,3.1233735705209655,66.4,0.0,0.364577163368932,52
nwisca.01.02105719,7.4,6.79,9.515,7.12,0.93,23.0,0.56,66.4,37.403660625,0.3643146319948417,53
nwisca.01.02105720,7.4,6.97,10.015,7.12,1.0,23.0,0.56,66.4,37.403660625,0.3638251367247699,54
CA_BVR-MC2:20220519:1215:FM:PS:0.183:Hydro,7.63,162.09405044510385,0.1621,7.12,65.86257217573221,0.2533,3.1233735705209655,66.4,0.0,0.3633033948701256,55
nwisca.01.02003998,7.4,6.52,9.015,7.12,0.84,21.0,0.58,66.4,37.403660625,0.3632588876486948,56
CA_BVR-MC2:20220506:0945:FM:PS:0.19:Hydro,7.33,162.09405044510385,0.1558,7.12,65.86257217573221,0.2435,3.1233735705209655,66.4,0.0,0.362720637537589,57
CA_BVR-LC01:20210621:1203:FM:PS:0.508:Hydro,9.34,162.09405044510385,0.2217,7.12,65.86257217573221,0.3464,3.1233735705209655,66.4,154.7,0.3627146457522972,58
nwisca.01.02203156,7.775573846153846,2.55,246.45972997594052,7.12,0.4,9.0,1.78,66.4,37.403660625,0.36246139466422284,59
CA_BVR-AC4:20220126:1147:FM:PS:0.246:Hydro,7.62,162.09405044510385,0.1555,7.12,65.86257217573221,0.243,3.1233735705209655,66.4,92.7,0.3624451629719753,60
nwisca.01.02206379,7.775573846153846,2.63,11.515,7.12,0.4,9.0,1.69,66.4,37.403660625,0.3618476489301478,61
nwisca.01.02003797,7.3,5.94,8.51,7.12,0.77,19.0,0.61,66.4,37.403660625,0.3617332087407544,62
CA_BVR-AC4:20220202:1304:FM:PS:0.203:Hydro,7.85,162.09405044510385,0.1671,7.12,65.86257217573221,0.2611,3.1233735705209655,66.4,126.9,0.3615011882558319,63
CA_BVR-LC01:20210714:1113:FM:PS:0.234:Hydro,9.24,162.09405044510385,0.2299,7.12,65.86257217573221,0.359,3.1233735705209655,66.4,263.2,0.3611854865856112,64
nwisca.01.02203155,7.775573846153846,2.67,246.45972997594052,7.12,0.39,9.0,1.71,66.4,37.403660625,0.36090137873985584,65
CA_BVR-MC2:20220602:1126:FM:PS:0.133:Hydro,7.559,162.09405044510385,0.1686,7.12,65.86257217573221,0.2634,3.1233735705209655,66.4,0.0,0.3606147554672941,66
CA_BVR-MC2:20220525:1006:FM:PS:0.143:Hydro,7.35,162.09405044510385,0.1627,7.12,65.86257217573221,0.2542,3.1233735705209655,66.4,0.0,0.3605692850200112,67
nwisca.01.02100334,7.4,6.82,15.68,7.12,0.98,23.0,0.6,66.4,37.403660625,0.3605645884456628,68
nwisca.01.02002441,6.9,2.47,4.005,7.12,0.34,8.0,1.43,66.4,37.403660625,0.3605588564343392,69
